BENCHMARK, START_STVARS, LTL2SMV_STVARS, LTL2SMV_TIME, CIRCUIT_STVARS, CIRCUIT_TIME
"benchmarks_wbs/wbs_arch1.ltl_63.vmt", 32, 32, 0.011, 35, 0.336
"benchmarks_wbs/wbs_arch1.ltl_64.vmt", 32, 32, 0.016, 35, 0.334
"benchmarks_wbs/wbs_arch1.ltl_65.vmt", 32, 32, 0.016, 35, 0.336
"benchmarks_wbs/wbs_arch1.ltl_66.vmt", 31, 35, 0.166, 84, 0.549
"benchmarks_wbs/wbs_arch1.ltl_67.vmt", 31, 35, 0.151, 84, 0.461
"benchmarks_wbs/wbs_arch1.ltl_68.vmt", 31, 35, 0.140, 84, 0.466
"benchmarks_wbs/wbs_arch1.ltl_69.vmt", 31, 35, 0.143, 84, 0.459
"benchmarks_wbs/wbs_arch1.ltl_6.vmt", 83, 89, 0.250, 483, 15.065
"benchmarks_wbs/wbs_arch1.ltl_70.vmt", 31, 35, 0.151, 84, 0.473
"benchmarks_wbs/wbs_arch1.ltl_71.vmt", 31, 35, 0.141, 84, 0.460
"benchmarks_wbs/wbs_arch1.ltl_72.vmt", 31, 35, 0.145, 84, 0.462
"benchmarks_wbs/wbs_arch1.ltl_73.vmt", 31, 35, 0.148, 84, 0.464
"benchmarks_wbs/wbs_arch1.ltl_74.vmt", 31, 35, 0.128, 84, 0.532
"benchmarks_wbs/wbs_arch1.ltl_75.vmt", 31, 35, 0.125, 84, 0.527
"benchmarks_wbs/wbs_arch1.ltl_76.vmt", 31, 35, 0.132, 84, 0.513
"benchmarks_wbs/wbs_arch1.ltl_77.vmt", 31, 35, 0.170, 84, 0.523
"benchmarks_wbs/wbs_arch1.ltl_78.vmt", 31, 35, 0.155, 84, 0.524
"benchmarks_wbs/wbs_arch1.ltl_79.vmt", 31, 35, 0.124, 84, 0.518
"benchmarks_wbs/wbs_arch1.ltl_7.vmt", 83, 89, 0.247, 483, 15.181
"benchmarks_wbs/wbs_arch1.ltl_80.vmt", 31, 35, 0.132, 84, 0.524
"benchmarks_wbs/wbs_arch1.ltl_81.vmt", 31, 35, 0.114, 84, 0.517
"benchmarks_wbs/wbs_arch1.ltl_82.vmt", 9, 9, 0.015, 12, 0.109
"benchmarks_wbs/wbs_arch1.ltl_83.vmt", 152, 156, 0.575, 2957, 488.930
"benchmarks_wbs/wbs_arch1.ltl_84.vmt", 152, 156, 0.533, 2957, 488.581
"benchmarks_wbs/wbs_arch1.ltl_85.vmt", 152, 156, 0.600, 2957, 473.830
"benchmarks_wbs/wbs_arch1.ltl_86.vmt", 153, 158, 0.588, 271, 5.001
"benchmarks_wbs/wbs_arch1.ltl_87.vmt", 153, 158, 0.588, 255, 3.508
"benchmarks_wbs/wbs_arch1.ltl_88.vmt", 153, 158, 20.277, 219, 2.098
"benchmarks_wbs/wbs_arch1.ltl_89.vmt", 153, 158, 19.623, 219, 1.664
"benchmarks_wbs/wbs_arch1.ltl_8.vmt", 83, 89, 0.236, 483, 14.065
"benchmarks_wbs/wbs_arch1.ltl_90.vmt", 153, 158, 1.288, 177, 0.649
"benchmarks_wbs/wbs_arch1.ltl_91.vmt", 153, 158, 0.514, 177, 0.744
"benchmarks_wbs/wbs_arch1.ltl_92.vmt", 153, 158, 0.991, 177, 0.638
"benchmarks_wbs/wbs_arch1.ltl_93.vmt", 153, 158, 0.504, 177, 0.769
"benchmarks_wbs/wbs_arch1.ltl_94.vmt", 153, 158, 1.143, 177, 0.637
"benchmarks_wbs/wbs_arch1.ltl_95.vmt", 153, 158, 0.521, 177, 0.741
"benchmarks_wbs/wbs_arch1.ltl_96.vmt", 153, 158, 1.106, 177, 0.648
"benchmarks_wbs/wbs_arch1.ltl_97.vmt", 153, 158, 0.484, 177, 0.757
"benchmarks_wbs/wbs_arch1.ltl_98.vmt", 153, 158, 1.117, 177, 0.623
"benchmarks_wbs/wbs_arch1.ltl_99.vmt", 153, 158, 0.497, 177, 0.752
"benchmarks_wbs/wbs_arch1.ltl_9.vmt", 83, 89, 0.242, 483, 14.375
"benchmarks_wbs/wbs_arch2.ltl_100.vmt", 150, 155, 0.321, 268, 6.335
"benchmarks_wbs/wbs_arch2.ltl_101.vmt", 150, 155, 0.324, 252, 5.427
"benchmarks_wbs/wbs_arch2.ltl_102.vmt", 149, 153, 0.987, 1910, 334.312
"benchmarks_wbs/wbs_arch2.ltl_103.vmt", 149, 153, 1.225, 1910, 306.700
"benchmarks_wbs/wbs_arch2.ltl_104.vmt", 150, 155, 0.487, 190, 2.027
"benchmarks_wbs/wbs_arch2.ltl_105.vmt", 150, 157, 0.489, 201, 2.547
"benchmarks_wbs/wbs_arch2.ltl_106.vmt", 150, 155, 0.444, 190, 2.241
"benchmarks_wbs/wbs_arch2.ltl_107.vmt", 150, 157, 0.551, 201, 2.621
"benchmarks_wbs/wbs_arch2.ltl_108.vmt", 150, 155, 0.407, 190, 1.247
"benchmarks_wbs/wbs_arch2.ltl_109.vmt", 150, 157, 0.449, 201, 1.545
"benchmarks_wbs/wbs_arch2.ltl_10.vmt", 89, 103, 1.478, 589, 22.975
"benchmarks_wbs/wbs_arch2.ltl_110.vmt", 150, 155, 0.525, 190, 2.155
"benchmarks_wbs/wbs_arch2.ltl_111.vmt", 150, 157, 0.451, 201, 2.484
"benchmarks_wbs/wbs_arch2.ltl_112.vmt", 150, 155, 0.512, 190, 1.308
"benchmarks_wbs/wbs_arch2.ltl_113.vmt", 150, 157, 0.444, 201, 1.568
"benchmarks_wbs/wbs_arch2.ltl_114.vmt", 150, 155, 0.450, 190, 2.356
"benchmarks_wbs/wbs_arch2.ltl_115.vmt", 150, 157, 0.630, 201, 2.615
"benchmarks_wbs/wbs_arch2.ltl_116.vmt", 150, 155, 0.952, 190, 1.998
"benchmarks_wbs/wbs_arch2.ltl_117.vmt", 150, 157, 0.804, 201, 2.392
"benchmarks_wbs/wbs_arch2.ltl_118.vmt", 150, 155, 0.801, 190, 2.308
"benchmarks_wbs/wbs_arch2.ltl_119.vmt", 150, 157, 0.896, 201, 2.455
"benchmarks_wbs/wbs_arch2.ltl_120.vmt", 149, 153, 0.713, 350, 13.358
